date,open,high,low,close,volume,is_anomaly
2026-07-07,177.0,184.0,175.3,180.23,2492602,False
2026-07-06,175.2,178.99,175.06,175.77,1111577,False
2026-07-03,177.0,177.0,174.0,174.92,508976,False
2026-07-02,178.0,178.0,175.0,175.21,1225316,False
2026-07-01,170.0,186.6,168.0,177.99,5002315,False
2026-06-30,169.89,170.5,166.0,169.64,337579,False
2026-06-29,167.0,168.97,166.5,167.27,377547,False
2026-06-24,168.48,170.0,166.3,167.95,682269,False
2026-06-23,171.99,171.99,166.0,166.22,462991,False
2026-06-22,173.36,175.99,170.3,170.71,186430,False
2026-06-19,174.4,175.99,172.0,173.36,122545,False
2026-06-18,176.74,177.5,173.36,174.13,299590,False
2026-06-17,177.5,177.5,175.0,176.74,90832,False
2026-06-16,169.0,179.45,169.0,177.4,1466582,False
2026-06-15,171.05,174.0,166.57,169.35,778250,False
2026-06-12,168.25,172.98,167.0,169.62,106361,False
2026-06-11,169.25,169.25,164.05,166.22,45306,False
2026-06-10,169.51,170.0,165.01,166.04,363167,False
2026-06-09,169.5,171.5,168.05,170.37,334889,False
2026-06-08,168.83,170.1,166.5,168.27,29812,False
2026-06-05,171.4,171.45,168.82,169.09,44216,False
2026-06-04,171.86,171.86,168.05,169.15,1104309,False
2026-06-03,171.99,175.0,169.12,170.25,203761,False
2026-06-02,177.49,177.49,170.02,170.71,348581,False
2026-06-01,176.41,176.41,173.01,174.0,762768,False
2026-05-29,172.6,179.6,167.51,176.41,488317,False
2026-05-25,168.5,173.5,166.66,172.6,222632,False
2026-05-22,166.9,167.0,163.42,165.56,263122,False
2026-05-21,168.89,168.89,163.21,165.3,1119829,False
2026-05-20,163.2,166.7,160.87,163.79,359080,False
2026-05-19,159.97,162.62,158.0,161.27,342553,False
2026-05-18,160.0,162.0,152.0,156.03,238352,False
2026-05-15,166.99,166.99,158.6,160.55,207056,False
2026-05-14,167.99,167.99,164.49,164.92,114082,False
2026-05-13,172.0,172.4,162.5,164.88,250885,False
2026-05-12,171.0,172.44,169.61,170.31,21865,False
2026-05-11,169.0,172.25,169.0,171.53,39484,False
2026-05-08,172.99,173.99,170.26,170.7,49000,False
2026-05-07,172.81,175.0,171.08,173.37,379724,False
2026-05-06,171.27,174.0,169.2,172.81,224775,False
2026-05-05,167.6,170.88,167.02,169.66,237979,False
2026-05-04,166.8,173.5,166.0,167.63,98041,False
2026-04-30,170.05,172.95,168.0,170.16,652255,False
2026-04-29,174.85,177.0,170.11,170.92,303738,False
2026-04-28,173.32,176.0,172.1,173.69,331405,False
2026-04-27,177.2,177.2,172.1,173.31,1114872,False
2026-04-24,175.0,176.6,171.5,175.02,757355,False
2026-04-23,180.98,180.98,176.0,177.69,815788,False
